status,error_message,dataset_dir,dataset_type,n,m,target_edges,num_components,side_length,hubs_per_component,hub_degree,model,half_bandwidth,rho,cond,p0,normalize,seed,runtime_seconds,solver_time_seconds,objective,gap,nodes,TP,FP,TN,FN,TPR,FPR,precision,recall,F1,selected_edges,true_edges,l0,l2,M,gap_tol,time_limit
ok,,/Users/tongxu/projects/score-matching/data/gaussian/m020_n500_edges30_seed000,gaussian,500,20,30,,,,,,,,,,,0,0.23450320800000002,0.05705904960632324,9.553730614309092,0.024582997201141085,1,30,16,144,0,1.0,0.1,0.6521739130434783,1.0,0.7894736842105263,46,30,0.01,0.05,3.290838608646323,0.05,60.0
ok,,/Users/tongxu/projects/score-matching/data/gaussian/m020_n500_edges30_seed000,gaussian,500,20,30,,,,,,,,,,,0,0.011460791999999831,0.008175134658813477,9.93480715209371,0.03366369899729754,1,29,3,157,1,0.9666666666666667,0.01875,0.90625,0.9666666666666667,0.9354838709677419,32,30,0.02,0.05,3.290838608646323,0.05,60.0
ok,,/Users/tongxu/projects/score-matching/data/gaussian/m020_n500_edges30_seed000,gaussian,500,20,30,,,,,,,,,,,0,0.12446370799999995,0.12157988548278809,10.509507875201923,0.04955867209507948,31,26,0,160,4,0.8666666666666667,0.0,1.0,0.8666666666666667,0.9285714285714286,26,30,0.04,0.05,3.290838608646323,0.05,60.0
