stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,0.1,log(p)/n,0.0006214608098422192,OPTIMAL,1.0,1.0,36.60242176055908,-47.16090421905465,-47.208012141717454,0.0009988765788712392,970,247,1,0.9989701338825953,0.0019954919655191914,0.886654478976234,0.0,248,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,0.2,log(p)/n,0.0012429216196844384,OPTIMAL,1.0,1.0,37.77408218383789,-46.40458641311205,-46.450915540722356,0.0009983738934308368,970,247,1,0.9989701338825953,0.0019954919655191914,0.886654478976234,0.0,248,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,0.5,log(p)/n,0.0031073040492110957,OPTIMAL,1.0,1.0,8.489655017852783,-44.13563299383873,-44.17971712630866,0.0009988331305020696,970,247,1,0.9989701338825953,0.0019954919655191914,0.886654478976234,0.0,248,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,1.0,log(p)/n,0.006214608098422191,OPTIMAL,1.0,1.0,36.54058504104614,-40.40532409451693,-40.428973956324974,0.0005853154834923202,970,219,1,0.9989701338825953,0.0017692823499947487,0.898148148148148,0.0,220,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,1.2,log(p)/n,0.007457529718106629,OPTIMAL,1.0,1.0,11.526238918304443,-38.93582274227686,-38.96822306455242,0.0008321468507297237,970,204,1,0.9989701338825953,0.0016480986273923687,0.9044289044289044,0.0,205,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,1.4,log(p)/n,0.008700451337791067,OPTIMAL,1.0,1.0,152.99475502967834,-37.48370483729321,-37.52102583957834,0.000995659379112417,969,189,2,0.9979402677651905,0.0015269149047899887,0.9102865194927194,0.0,191,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,1.6,log(p)/n,0.009943372957475508,TIME_LIMIT,1.0,0.0,600.3898150920868,-36.069944526068966,-36.12255190187182,0.0014584823041476048,969,145,2,0.9979402677651905,0.0011714426518230072,0.9294964028776979,0.0,147,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,1.8,log(p)/n,0.011186294577159944,TIME_LIMIT,1.0,0.0,600.4410400390625,-34.702654346376626,-34.76843109933472,0.0018954386687991662,969,110,2,0.9979402677651905,0.0008886806324174537,0.9453658536585366,0.0,112,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,2.0,log(p)/n,0.012429216196844383,TIME_LIMIT,1.0,0.0,600.4059121608734,-33.38189571984767,-33.451703072580585,0.002091174009971243,968,77,3,0.9969104016477858,0.0006220764426922176,0.9603174603174603,0.0,80,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,2.2,log(p)/n,0.013672137816528823,TIME_LIMIT,1.0,0.0,600.4654121398926,-32.10443774003965,-32.1662662079193,0.0019258542504402554,966,49,5,0.9948506694129763,0.00039586682716777485,0.972809667673716,0.0,54,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,2.5,log(p)/n,0.015536520246055478,TIME_LIMIT,1.0,0.0,600.4140939712524,-30.238070624321768,-30.288063407321552,0.0016533059804276133,963,22,8,0.9917610710607621,0.00017773612648349073,0.9846625766871165,0.0,30,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,3.0,log(p)/n,0.018643824295266575,TIME_LIMIT,1.0,0.0,600.4269080162048,-27.224563257229203,-27.261637131909307,0.001361780327927179,949,5,22,0.9773429454170958,4.039457420079335e-05,0.9859740259740261,0.0,27,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,5.0,log(p)/n,0.031073040492110956,TIME_LIMIT,1.0,0.0,600.4621999263763,-16.02130133525152,-16.330647204553934,0.01930841089804388,818,0,153,0.8424304840370752,0.0,0.9144773616545557,0.0,153,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=007,erdos_renyi,500,1000,7,sm_l0,10.0,log(p)/n,0.06214608098422191,TIME_LIMIT,1.0,0.0,600.4921941757202,-1.934589436323968,-2.5275947324032506,0.3065277236321978,154,0,817,0.15859938208032956,0.0,0.2737777777777778,0.0,817,
