stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,0.1,log(p)/n,0.0006214608098422192,OPTIMAL,1.0,1.0,24.355675220489502,-307.777788785276,-307.8063629091595,9.2840110380395e-05,1000,295,0,1.0,0.002383838383838384,0.8714596949891068,0.0,295,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,0.2,log(p)/n,0.0012429216196844384,OPTIMAL,1.0,1.0,26.189178943634033,-306.9730634873867,-307.00072807629607,9.012057473411184e-05,1000,294,0,1.0,0.0023757575757575758,0.8718395815170009,0.0,294,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,0.5,log(p)/n,0.0031073040492110957,OPTIMAL,1.0,1.0,45.574947118759155,-304.5654279979122,-304.59500316231413,9.7106111472823e-05,1000,285,0,1.0,0.002303030303030303,0.8752735229759301,0.0,285,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,1.0,log(p)/n,0.006214608098422191,OPTIMAL,1.0,1.0,305.97451186180115,-300.62632391020816,-300.6467656658504,6.799722451570241e-05,1000,247,0,1.0,0.0019959595959595957,0.8900756564307967,0.0,247,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,1.2,log(p)/n,0.007457529718106629,OPTIMAL,1.0,1.0,280.96429991722107,-299.0903586082224,-299.11982884003794,9.853287131244605e-05,1000,224,0,1.0,0.00181010101010101,0.8992805755395683,0.0,224,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,1.4,log(p)/n,0.008700451337791067,OPTIMAL,1.0,1.0,229.16254997253418,-297.58295640766835,-297.61242722308754,9.903394930593757e-05,1000,199,0,1.0,0.001608080808080808,0.9095043201455206,0.0,199,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,1.6,log(p)/n,0.009943372957475508,OPTIMAL,1.0,1.0,231.1850700378418,-296.10797045668147,-296.1372561774127,9.890216965820087e-05,1000,171,0,1.0,0.0013818181818181818,0.9212344541685858,0.0,171,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,1.8,log(p)/n,0.011186294577159944,OPTIMAL,1.0,1.0,215.1298520565033,-294.6799695878871,-294.7012852807822,7.233505869060875e-05,1000,128,0,1.0,0.0010343434343434343,0.9398496240601504,0.0,128,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,2.0,log(p)/n,0.012429216196844383,OPTIMAL,1.0,1.0,84.40348696708679,-293.30716553915306,-293.3356383088483,9.707492022186002e-05,1000,85,0,1.0,0.0006868686868686869,0.9592326139088729,0.0,85,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=1000_degree=04_signal=0.200_kappa=10.0_graph=random_rep=001,erdos_renyi,500,1000,1,sm_l0_milp,2.2,log(p)/n,0.013672137816528823,OPTIMAL,1.0,1.0,64.01942992210388,-291.9782519561686,-292.0020591774771,8.153765271562074e-05,998,53,2,0.998,0.0004282828282828283,0.9731838127742564,0.0,55,
