method,penalty_constant,penalty_rate,replications,mean_FPR,se_FPR,mean_TPR,se_TPR,mean_precision,se_precision
sm_l0_core,0.1,log(p)/n,8,0.00424719466620377,7.673172978083023e-05,0.9886915257604918,0.0021041049197821488,0.6511064791283796,0.003978234058833138
sm_l0_core,0.2,log(p)/n,8,0.00412195462281447,7.120807538738816e-05,0.9857943170363377,0.0022011475713873195,0.6572013561830381,0.003549869908196732
sm_l0_core,0.5,log(p)/n,8,0.0037936940980393694,7.310347353524625e-05,0.9770002095552522,0.0029500862054741626,0.6737181312817034,0.0036435150469528734
sm_l0_core,1.0,log(p)/n,8,0.003319984050136026,5.923039828053768e-05,0.9592149180796637,0.0037189070326945095,0.6984390518653693,0.003224693122142307
sm_l0_core,1.2,log(p)/n,8,0.003172515336884913,4.15150984991735e-05,0.9526809468704324,0.00442494540187878,0.7064229557945878,0.002443471685864325
sm_l0_core,1.4,log(p)/n,8,0.0030098969208991995,3.832476020277247e-05,0.9451212242731535,0.005000144589534518,0.7155824457419997,0.0024794309003478743
sm_l0_core,1.6,log(p)/n,8,0.0028250595383918966,4.115285748436672e-05,0.9378261644896502,0.006125234315704214,0.7267616438099455,0.0030735088709267044
sm_l0_core,1.8,log(p)/n,8,0.0026503242263137172,3.301682151222357e-05,0.9296252253861064,0.005594517751102747,0.7375349195199142,0.002704847222526887
sm_l0_core,2.0,log(p)/n,9,0.0025093187630251157,3.074399273488973e-05,0.9139891752731342,0.005643334841026789,0.7442713667705205,0.0031551746706617186
sm_l0_core,2.2,log(p)/n,8,0.002325095301304827,3.3027149978687815e-05,0.9078693474508749,0.0048693011763246375,0.7577838580462692,0.00265158297375169
sm_l0_core,2.5,log(p)/n,8,0.0021129830200994778,3.2522141016888025e-05,0.8886940863246879,0.005121911559459523,0.7711424510905778,0.0030815498979874334
sm_l0_core,3.0,log(p)/n,7,0.0017764411608608972,4.363615547267444e-05,0.8587457847426997,0.005792660261757852,0.7941633952215345,0.004496701754319472
sm_l0_core,5.0,log(p)/n,9,0.0009220186341990644,8.548991663154558e-05,0.7330002658154331,0.0069826490006756605,0.8652331949356437,0.010538393027566794
sm_l0_core,10.0,log(p)/n,9,0.00019301809837186598,4.1511981405042746e-05,0.39303619730676265,0.02047071252741713,0.9452043905532784,0.00934595511174116
sm_l1,0.1,sqrt(log(p)/n),10,0.004451371787665726,6.150853753389133e-05,0.993477178007903,0.0008541992907702806,0.6411258776539911,0.003371906584799942
sm_l1,0.2,sqrt(log(p)/n),10,0.004357643140769316,6.256913821660948e-05,0.9905382162475005,0.0010228370572018318,0.6453401533650963,0.0034055538165124423
sm_l1,0.5,sqrt(log(p)/n),10,0.0040691865739192,5.9404374836599784e-05,0.9799607703531017,0.004306783093032121,0.6584411277734266,0.0028693354539034064
sm_l1,1.0,sqrt(log(p)/n),10,0.0034284299894326146,5.2056290785939514e-05,0.9511759092204617,0.009059263102231974,0.6894590988949016,0.0027007460399944023
sm_l1,1.2,sqrt(log(p)/n),10,0.0031027954241465944,4.0368936152721786e-05,0.9322870613632526,0.011323500639750229,0.7061184586099222,0.003327747433011067
sm_l1,1.4,sqrt(log(p)/n),10,0.00269069628929733,3.681461123226021e-05,0.9039318416200043,0.011524043180183727,0.7286280272743175,0.004524262112827576
sm_l1,1.6,sqrt(log(p)/n),10,0.0022503282695966677,5.693395311899746e-05,0.8699230548153289,0.010893673441717407,0.7555228281729114,0.006661958006999346
sm_l1,1.8,sqrt(log(p)/n),10,0.0018010651059844798,7.753137736724818e-05,0.8252560322780423,0.01128205318793882,0.785627048289073,0.009299702735935679
sm_l1,2.0,sqrt(log(p)/n),10,0.0014245296603535122,0.00010252934311204615,0.774017313130812,0.008617921956456666,0.8137032563102446,0.01205741034456001
sm_l1,2.2,sqrt(log(p)/n),10,0.001099703018400812,0.00012535069202867876,0.7176583365065411,0.006499273915897221,0.8412171726510399,0.01569331108881262
sm_l1,2.5,sqrt(log(p)/n),10,0.0007118548685889006,0.00012702764595260167,0.6084873597493974,0.008901226405706026,0.8767181930686807,0.01841411795881914
sm_l1,3.0,sqrt(log(p)/n),10,0.00037814945938184164,0.00010411617180715199,0.42019204997466686,0.01848072420240154,0.9083680449060891,0.01955497920789871
sm_l1,5.0,sqrt(log(p)/n),10,4.121029978594418e-05,3.1307072097820387e-05,0.03579421609018182,0.014785768252536623,0.9625933423301845,0.022064165263023593
sm_l1,10.0,sqrt(log(p)/n),10,0.0,0.0,0.0,0.0,1.0,0.0
