method,penalty_constant,penalty_rate,replications,mean_FPR,se_FPR,mean_TPR,se_TPR,mean_precision,se_precision
sm_l0,0.1,log(p)/n,10,0.001800608394215035,2.4445253322887986e-05,0.9991033525916105,0.0003448798845868442,0.690678064146841,0.0026028424816050737
sm_l0,0.2,log(p)/n,10,0.001799603278578325,2.409161250192309e-05,0.9991033525916105,0.0003448798845868442,0.6907933506437975,0.0025813043412813586
sm_l0,0.5,log(p)/n,10,0.0017915632415915444,2.57031247538918e-05,0.9991033525916105,0.0003448798845868442,0.6917665894197015,0.0027637284637453885
sm_l0,1.0,log(p)/n,10,0.0016092503827036648,1.859862221767676e-05,0.9990531013353291,0.0003502535819220064,0.7141009678993788,0.002243592846819892
sm_l0,1.2,log(p)/n,10,0.0014707574263172003,1.740346804107389e-05,0.9989030328558366,0.00034485616761229865,0.7320815446221557,0.002259617930275885
sm_l0,1.4,log(p)/n,10,0.0012414097300356827,1.5207357710484535e-05,0.9986534722655735,0.0004314451596640186,0.7639422610625892,0.0022918371376945378
sm_l0,1.6,log(p)/n,10,0.0008890466368850696,1.5587659618716674e-05,0.9980548096859714,0.000671122045331619,0.8187357964613966,0.0027439891888538523
sm_l0,1.8,log(p)/n,10,0.000567438367956569,7.235673290076737e-06,0.9967527287538221,0.0009037044753776731,0.876014931171644,0.0014471723222016753
sm_l0,2.0,log(p)/n,10,0.0003362829133736407,9.782264226456118e-06,0.9946507300966342,0.00117865724438714,0.9225296914877742,0.001901194012697581
sm_l0,2.2,log(p)/n,10,0.00018673427973456408,4.846035763379342e-06,0.9915991982737096,0.0016364189229222709,0.9552927459668108,0.001056504788261186
sm_l0,2.5,log(p)/n,10,7.698517169549067e-05,3.4822849798670178e-06,0.9854405462889142,0.0023490591840533634,0.9809597996051366,0.0008363745798326573
sm_l0,3.0,log(p)/n,10,1.4271461868542823e-05,2.2908508660001684e-06,0.9651367801441066,0.0049071016986986385,0.9963539292649022,0.0005814372003616934
sm_l0,5.0,log(p)/n,10,0.0,0.0,0.7498053643737923,0.021567697128196114,1.0,0.0
sm_l0,10.0,log(p)/n,10,0.0,0.0,0.09626872947052319,0.01277083797539196,1.0,0.0
sm_l0_core,0.1,log(p)/n,10,0.0018004073762601114,2.4414368569505963e-05,0.9991033525916105,0.0003448798845868442,0.6907015010701449,0.0026022525534015383
sm_l0_core,0.2,log(p)/n,10,0.0017990002921877142,2.441565691674332e-05,0.9991033525916105,0.0003448798845868442,0.6908682874661985,0.0026185329543284785
sm_l0_core,0.5,log(p)/n,10,0.0017815124266584176,2.3207493461967323e-05,0.9991033525916105,0.0003448798845868442,0.6929371741326331,0.0025781039543823496
sm_l0_core,1.0,log(p)/n,10,0.001629551995747948,1.8255567348275033e-05,0.9990531013353291,0.0003502535819220064,0.7115317401981672,0.002158686687743754
sm_l0_core,1.2,log(p)/n,10,0.0014964860792889157,1.851104372920833e-05,0.9989518609808365,0.0003425175112137546,0.7286831938524171,0.0024094701617373587
