stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,0.1,log(p)/n,0.002485843239368877,TIME_LIMIT,0.0,0.0,1222.4409639835358,nan,-114.07391122436867,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,0.2,log(p)/n,0.004971686478737754,OPTIMAL,1.0,1.0,243.15996289253235,-106.40177299928358,-106.411288591698,8.94307693019424e-05,842,2192,145,0.8530901722391084,0.017711270735195496,0.4188012932106441,0.0,2337,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,0.5,log(p)/n,0.012429216196844383,TIME_LIMIT,0.0,0.0,1208.3164911270142,nan,-124.43723428300774,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,1.0,log(p)/n,0.024858432393688765,TIME_LIMIT,0.0,0.0,1211.8853542804718,nan,-223.49590510675952,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,1.2,log(p)/n,0.029830118872426516,TIME_LIMIT,0.0,0.0,1205.0249330997467,nan,-55.06948027301754,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,1.4,log(p)/n,0.03480180535116427,TIME_LIMIT,0.0,0.0,1205.7711780071259,nan,-45.5312689049034,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,1.6,log(p)/n,0.03977349182990203,TIME_LIMIT,0.0,0.0,1205.1344108581543,nan,-39.102075398927504,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,1.8,log(p)/n,0.04474517830863978,TIME_LIMIT,0.0,0.0,1205.0542340278625,nan,-28.707063576025014,nan,,,,,,,,,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,2.0,log(p)/n,0.04971686478737753,TIME_LIMIT,1.0,0.0,1205.0088188648224,-17.457974114780026,-19.048690447498213,0.09111689147089969,512,151,475,0.5187436676798379,0.0012200738508277918,0.6206060606060606,0.0,626,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,2.2,log(p)/n,0.05468855126611529,TIME_LIMIT,1.0,0.0,1204.98846077919,-14.534038407977363,-14.803851111892573,0.018564193677038668,450,72,537,0.45592705167173253,0.0005817570679443776,0.5964214711729623,0.0,609,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,2.5,log(p)/n,0.06214608098422191,OPTIMAL,1.0,1.0,949.7863380908966,-11.119632864315154,-11.130740408116441,0.0009989128181501013,369,24,618,0.3738601823708207,0.00019391902264812586,0.5347826086956522,0.0,642,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,3.0,log(p)/n,0.0745752971810663,OPTIMAL,1.0,1.0,7.243217945098877,-7.1064925405486505,-7.106492541304258,1.0632631049810533e-10,261,5,726,0.26443768996960487,4.039979638502622e-05,0.4166001596169194,0.0,731,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,5.0,log(p)/n,0.12429216196844382,OPTIMAL,1.0,1.0,6.396007061004639,-0.8246402342577248,-0.824640234257693,0.0,40,0,947,0.040526849037487336,0.0,0.07789678675754626,0.0,947,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=009,erdos_renyi,500,250,9,sm_l0_core,10.0,log(p)/n,0.24858432393688765,OPTIMAL,1.0,1.0,5.8057451248168945,0.0,0.0,0.0,0,0,987,0.0,0.0,0.0,0.0,987,
