stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,0.1,sqrt(log(p)/n),0.015766557136448266,converged,1.0,,2.0184167088009417,,,,899,2288,98,0.9017051153460381,0.01848844068426624,0.4297323135755258,0.0,2386,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,0.2,sqrt(log(p)/n),0.03153311427289653,converged,1.0,,0.06260761898010969,,,,899,2287,98,0.9017051153460381,0.01848036007207906,0.42983504661726035,0.0,2385,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,0.5,sqrt(log(p)/n),0.07883278568224132,converged,1.0,,0.058963209856301546,,,,899,2284,98,0.9017051153460381,0.018456118235517523,0.43014354066985644,0.0,2382,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,1.0,sqrt(log(p)/n),0.15766557136448264,converged,1.0,,0.05565300025045872,,,,865,1616,132,0.8676028084252758,0.01305826929448175,0.4974123059229443,0.0,1748,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,1.2,sqrt(log(p)/n),0.18919868563737915,converged,1.0,,0.052109370939433575,,,,722,363,275,0.724172517552658,0.0029332622239460864,0.6935638808837655,0.0,638,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,1.4,sqrt(log(p)/n),0.2207317999102757,converged,1.0,,0.050912502221763134,,,,550,61,447,0.551654964894684,0.0004929173434179374,0.6840796019900497,0.0,508,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,1.6,sqrt(log(p)/n),0.25226491418317226,converged,1.0,,0.049274737015366554,,,,364,6,633,0.3650952858575727,4.84836731230758e-05,0.5325530358449159,0.0,639,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,1.8,sqrt(log(p)/n),0.2837980284560688,converged,1.0,,0.04191414266824722,,,,196,1,801,0.19658976930792377,8.0806121871793e-06,0.32830820770519265,0.0,802,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,2.0,sqrt(log(p)/n),0.3153311427289653,converged,1.0,,0.03895071521401405,,,,76,0,921,0.07622868605817452,0.0,0.14165890027958994,0.0,921,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,2.2,sqrt(log(p)/n),0.34686425700186185,converged,1.0,,0.03591820690780878,,,,24,0,973,0.024072216649949848,0.0,0.04701273261508325,0.0,973,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,2.5,sqrt(log(p)/n),0.3941639284112066,converged,1.0,,0.029445804189890623,,,,3,0,994,0.003009027081243731,0.0,0.005999999999999999,0.0,994,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,3.0,sqrt(log(p)/n),0.4729967140934479,converged,1.0,,0.008225813042372465,,,,0,0,997,0.0,0.0,0.0,0.0,997,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,5.0,sqrt(log(p)/n),0.7883278568224132,converged,1.0,,0.007960833609104156,,,,0,0,997,0.0,0.0,0.0,0.0,997,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=500_n=0250_degree=04_signal=0.200_kappa=10.0_graph=random_rep=002,erdos_renyi,500,250,2,sm_l1,10.0,sqrt(log(p)/n),1.5766557136448265,converged,1.0,,0.06376708997413516,,,,0,0,997,0.0,0.0,0.0,0.0,997,
