stage,study,job_name,instance_id,topology,p,n,rep,method,penalty_constant,penalty_rate,lambda,status,fit_available,certified,runtime_seconds,UB,LB,gap,TP,FP,FN,TPR,FPR,F1,exact_recovery,shd,error_message
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,0.1,sqrt(log(p)/n),0.010729830131446738,converged,1.0,,2.0772383301518857,,,,19,22,0,1.0,0.8461538461538461,0.6333333333333334,0.0,22,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,0.2,sqrt(log(p)/n),0.021459660262893476,converged,1.0,,0.0002879542298614979,,,,19,22,0,1.0,0.8461538461538461,0.6333333333333334,0.0,22,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,0.5,sqrt(log(p)/n),0.053649150657233684,converged,1.0,,0.000230325385928154,,,,19,15,0,1.0,0.5769230769230769,0.7169811320754718,0.0,15,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,1.0,sqrt(log(p)/n),0.10729830131446737,converged,1.0,,0.0002476009540259838,,,,19,7,0,1.0,0.2692307692307692,0.8444444444444443,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,1.2,sqrt(log(p)/n),0.12875796157736083,converged,1.0,,0.00023135775700211525,,,,19,6,0,1.0,0.23076923076923078,0.8636363636363636,0.0,6,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,1.4,sqrt(log(p)/n),0.1502176218402543,converged,1.0,,0.00022431183606386185,,,,19,4,0,1.0,0.15384615384615385,0.9047619047619047,0.0,4,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,1.6,sqrt(log(p)/n),0.1716772821031478,converged,1.0,,0.0002622045576572418,,,,19,1,0,1.0,0.038461538461538464,0.9743589743589743,0.0,1,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,1.8,sqrt(log(p)/n),0.19313694236604126,converged,1.0,,0.000245687086135149,,,,19,0,0,1.0,0.0,1.0,1.0,0,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,2.0,sqrt(log(p)/n),0.21459660262893474,converged,1.0,,0.0002577211707830429,,,,15,0,4,0.7894736842105263,0.0,0.8823529411764706,0.0,4,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,2.2,sqrt(log(p)/n),0.23605626289182824,converged,1.0,,0.0002454160712659359,,,,15,0,4,0.7894736842105263,0.0,0.8823529411764706,0.0,4,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,2.5,sqrt(log(p)/n),0.2682457532861684,converged,1.0,,0.00021283188834786415,,,,15,0,4,0.7894736842105263,0.0,0.8823529411764706,0.0,4,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,3.0,sqrt(log(p)/n),0.3218949039434021,converged,1.0,,0.00024357112124562263,,,,12,0,7,0.631578947368421,0.0,0.7741935483870968,0.0,7,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,5.0,sqrt(log(p)/n),0.5364915065723368,converged,1.0,,0.0002100011333823204,,,,2,0,17,0.10526315789473684,0.0,0.1904761904761905,0.0,17,
evaluation,primary_graph_recovery,roc,topology=erdos_renyi_p=010_n=0200_degree=04_signal=0.200_kappa=10.0_graph=random_rep=008,erdos_renyi,10,200,8,sm_l1,10.0,sqrt(log(p)/n),1.0729830131446736,converged,1.0,,0.0002002660185098648,,,,0,0,19,0.0,0.0,0.0,0.0,19,
