status,error_message,dataset_dir,dataset_type,n,m,target_edges,num_components,side_length,hubs_per_component,hub_degree,model,half_bandwidth,rho,cond,p0,normalize,seed,big_m_min,big_m_max,kappa_min,kappa_max,tau_min,tau_max,runtime_seconds,objective,objective_bound,mip_gap,nodes,TP,FP,TN,FN,TPR,FPR,precision,recall,F1,selected_edges,true_edges,lambda,big_m_scale,time_limit,mip_gap_target
TIME_LIMIT,,/Users/tongxu/projects/score-matching/data/gaussian/m020_n500_edges30_seed000,gaussian,500,20,30,,,,,,,,,,,0,2.6120206980878313,4.2583706149294125,0.09548221357503443,0.13622557028567842,0.07340765745394949,0.10473154764202788,60.0103759765625,-3.14904031969557,-3.488185313949317,0.10769788882427948,19663.0,30,37,123,0,1.0,0.23125,0.44776119402985076,1.0,0.6185567010309279,67,30,0.005,1.25,60.0,0.05
TIME_LIMIT,,/Users/tongxu/projects/score-matching/data/gaussian/m020_n500_edges30_seed000,gaussian,500,20,30,,,,,,,,,,,0,2.6120206980878313,4.2583706149294125,0.13503224140321815,0.1926520490400157,0.10381410475341378,0.1481127750836798,60.006706953048706,-2.8789628421295577,-3.26639058908067,0.13457198588382385,26909.0,30,12,148,0,1.0,0.075,0.7142857142857143,1.0,0.8333333333333333,42,30,0.01,1.25,60.0,0.05
TIME_LIMIT,,/Users/tongxu/projects/score-matching/data/gaussian/m020_n500_edges30_seed000,gaussian,500,20,30,,,,,,,,,,,0,2.6120206980878313,4.2583706149294125,0.19096442715006887,0.27245114057135683,0.14681531490789898,0.20946309528405577,60.032150983810425,-2.5015341878768775,-2.899323970659722,0.15901832751702652,33298.0,30,3,157,0,1.0,0.01875,0.9090909090909091,1.0,0.9523809523809523,33,30,0.02,1.25,60.0,0.05
